,3.0 uS,3.3 uS,3.6 uS,3.9 uS,4.2 uS,4.5 uS,4.8 uS,5.1 uS,5.4 uS,5.7 uS,6.0 uS,6.3 uS,6.6 uS,6.9 uS,7.2 uS,7.5 uS,7.8 uS,8.1 uS,8.4 uS,8.7 uS,9.0 uS,9.3 uS,9.6 uS,9.9 uS,10.2 uS,10.5 uS,10.8 uS,11.1 uS,11.4 uS,11.7 uS,12.0 uS,12.3 uS,12.6 uS,12.9 uS,13.2 uS,13.5 uS,13.8 uS,14.1 uS,14.4 uS,14.7 uS,15.0 uS,15.3 uS,15.6 uS,15.9 uS,16.2 uS,16.5 uS,16.8 uS,17.1 uS,17.4 uS,17.7 uS
trk0,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 19.28%, 0.00%, 3.09%, 0.00%, 77.10%, 0.00%, 0.03%, 0.00%, 0.20%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.00%, 0.00%, 0.00%, 0.23%, 0.00%, 0.00%, 0.00%, 0.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 
trk1,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 14.41%, 0.00%, 1.97%, 0.00%, 61.58%, 0.00%, 0.66%, 0.00%, 6.68%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.54%, 0.00%, 0.29%, 0.00%, 9.72%, 0.00%, 0.43%, 0.00%, 1.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 
trk2,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 13.06%, 0.00%, 1.93%, 0.00%, 58.86%, 0.00%, 0.90%, 0.00%, 8.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 3.61%, 0.00%, 0.45%, 0.00%, 10.94%, 0.00%, 0.40%, 0.00%, 1.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 
trk3,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 13.06%, 0.00%, 2.07%, 0.00%, 60.02%, 0.00%, 0.91%, 0.00%, 6.62%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.37%, 0.00%, 0.40%, 0.00%, 11.82%, 0.00%, 0.44%, 0.00%, 2.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 
trk4,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 10.37%, 0.00%, 2.14%, 0.00%, 50.71%, 0.00%, 1.59%, 0.00%, 10.60%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.82%, 0.00%, 0.76%, 0.00%, 14.66%, 0.00%, 0.81%, 0.00%, 3.54%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 
trk5,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.76%, 0.00%, 2.20%, 0.00%, 46.10%, 0.00%, 2.34%, 0.00%, 10.47%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.44%, 0.00%, 1.27%, 0.00%, 18.49%, 0.00%, 1.54%, 0.00%, 5.39%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 
trk6,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 10.37%, 0.00%, 1.70%, 0.00%, 50.20%, 0.00%, 1.06%, 0.00%, 8.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.68%, 0.00%, 0.53%, 0.00%, 17.73%, 0.00%, 1.16%, 0.00%, 6.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 
trk7,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.98%, 0.00%, 1.52%, 0.00%, 46.44%, 0.00%, 1.54%, 0.00%, 9.47%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 3.37%, 0.00%, 0.72%, 0.00%, 20.54%, 0.00%, 1.61%, 0.00%, 6.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 
trk8,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 9.26%, 0.00%, 1.59%, 0.00%, 47.05%, 0.00%, 1.28%, 0.00%, 8.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 3.55%, 0.00%, 0.50%, 0.00%, 14.89%, 0.00%, 1.20%, 0.00%, 12.05%, 0.00%, 0.06%, 0.00%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 
