,12.5 uS,13.0 uS,13.5 uS,14.0 uS,14.5 uS,15.0 uS,15.5 uS,16.0 uS,16.5 uS,17.0 uS,17.5 uS,18.0 uS,18.5 uS,19.0 uS,19.5 uS,20.0 uS,20.5 uS,21.0 uS,21.5 uS,22.0 uS,22.5 uS,23.0 uS,23.5 uS,24.0 uS,24.5 uS,25.0 uS,25.5 uS,26.0 uS,26.5 uS,27.0 uS,27.5 uS,28.0 uS,28.5 uS,29.0 uS,29.5 uS,30.0 uS,30.5 uS,31.0 uS,31.5 uS,32.0 uS,32.5 uS,33.0 uS,33.5 uS,34.0 uS,34.5 uS,35.0 uS,35.5 uS,36.0 uS,36.5 uS,37.0 uS,avg uS
trk0,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.05%, 0.11%, 0.47%, 1.15%, 2.54%, 5.04%, 8.20%, 11.49%, 14.14%, 14.90%, 14.06%, 11.64%, 8.08%, 4.64%, 2.08%, 0.94%, 0.32%, 0.13%, 0.03%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.64%, 24.47
trk1,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.02%, 0.09%, 0.34%, 0.99%, 2.78%, 7.73%, 17.42%, 23.76%, 23.31%, 14.79%, 6.20%, 1.91%, 0.50%, 0.13%, 0.02%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.12%, 24.67
trk2,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.10%, 0.41%, 1.08%, 2.33%, 4.28%, 6.31%, 8.11%, 10.81%, 13.08%, 14.44%, 13.73%, 11.43%, 7.52%, 3.98%, 1.65%, 0.54%, 0.15%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.48%, 24.78
trk3,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.02%, 0.07%, 0.23%, 0.56%, 1.12%, 2.24%, 4.06%, 6.13%, 8.75%, 11.84%, 13.50%, 14.39%, 12.97%, 10.44%, 6.91%, 3.59%, 2.03%, 0.75%, 0.29%, 0.07%, 0.02%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.39%, 24.75
trk4,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.03%, 0.17%, 0.48%, 1.25%, 2.45%, 3.99%, 6.29%, 8.65%, 10.71%, 12.76%, 12.01%, 10.45%, 9.11%, 7.12%, 5.17%, 3.40%, 2.28%, 1.50%, 0.97%, 0.57%, 0.30%, 0.21%, 0.07%, 0.04%, 0.02%, 0.01%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.84%, 24.49
trk5,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.03%, 0.23%, 0.81%, 1.50%, 2.48%, 3.39%, 5.00%, 6.38%, 7.96%, 9.48%, 10.26%, 10.48%, 9.79%, 8.59%, 7.04%, 6.00%, 3.88%, 2.93%, 1.80%, 0.94%, 0.56%, 0.29%, 0.08%, 0.06%, 0.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.55%, 24.38
trk6,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.04%, 0.22%, 0.75%, 1.66%, 3.25%, 5.59%, 8.32%, 11.20%, 12.55%, 13.61%, 13.10%, 10.45%, 7.65%, 4.97%, 2.98%, 1.64%, 1.11%, 0.51%, 0.23%, 0.09%, 0.05%, 0.02%, 0.01%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.51%, 24.01
trk7,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.02%, 0.04%, 0.18%, 0.42%, 1.21%, 2.20%, 3.76%, 5.87%, 8.11%, 10.53%, 12.66%, 13.16%, 12.58%, 10.57%, 7.88%, 5.19%, 2.96%, 1.48%, 0.84%, 0.24%, 0.06%, 0.02%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.90%, 24.41
trk8,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.03%, 0.14%, 0.33%, 1.33%, 2.87%, 4.48%, 6.72%, 8.90%, 11.27%, 14.35%, 14.79%, 13.30%, 9.83%, 6.69%, 3.18%, 1.23%, 0.43%, 0.09%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.79%, 24.16
