,12.5 uS,13.0 uS,13.5 uS,14.0 uS,14.5 uS,15.0 uS,15.5 uS,16.0 uS,16.5 uS,17.0 uS,17.5 uS,18.0 uS,18.5 uS,19.0 uS,19.5 uS,20.0 uS,20.5 uS,21.0 uS,21.5 uS,22.0 uS,22.5 uS,23.0 uS,23.5 uS,24.0 uS,24.5 uS,25.0 uS,25.5 uS,26.0 uS,26.5 uS,27.0 uS,27.5 uS,28.0 uS,28.5 uS,29.0 uS,29.5 uS,30.0 uS,30.5 uS,31.0 uS,31.5 uS,32.0 uS,32.5 uS,33.0 uS,33.5 uS,34.0 uS,34.5 uS,35.0 uS,35.5 uS,36.0 uS,36.5 uS,37.0 uS,avg uS
trk0,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.14%, 0.63%, 2.36%, 5.32%, 10.56%, 14.70%, 18.18%, 16.26%, 11.85%, 9.46%, 5.16%, 3.21%, 1.45%, 0.49%, 0.14%, 0.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.77
trk1,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.11%, 0.36%, 1.43%, 4.41%, 10.10%, 15.31%, 19.17%, 18.57%, 13.58%, 8.98%, 4.88%, 2.05%, 0.69%, 0.27%, 0.04%, 0.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.76
trk2,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.02%, 0.31%, 1.01%, 3.37%, 7.89%, 15.42%, 17.97%, 20.11%, 16.19%, 9.91%, 5.07%, 2.12%, 0.51%, 0.07%, 0.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.02%, 25.35
trk3,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.09%, 0.39%, 1.12%, 2.38%, 4.53%, 7.66%, 12.55%, 17.76%, 18.19%, 15.54%, 11.04%, 5.28%, 2.49%, 0.78%, 0.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.64%, 24.81
trk4,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.13%, 0.34%, 1.27%, 2.69%, 6.73%, 10.03%, 11.46%, 13.38%, 12.83%, 10.72%, 9.71%, 6.63%, 4.28%, 3.33%, 2.88%, 1.56%, 1.06%, 0.58%, 0.26%, 0.03%, 0.08%, 0.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 26.05
trk5,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.14%, 0.58%, 1.30%, 2.02%, 3.49%, 5.01%, 8.32%, 11.00%, 14.23%, 14.14%, 14.34%, 11.12%, 7.34%, 4.21%, 1.93%, 0.58%, 0.23%, 0.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 10.08%, 24.32
trk6,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.37%, 1.26%, 2.96%, 7.23%, 11.78%, 13.82%, 15.37%, 14.37%, 10.37%, 7.91%, 5.73%, 3.69%, 2.70%, 1.23%, 0.71%, 0.37%, 0.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.78
trk7,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.05%, 0.10%, 0.70%, 1.38%, 3.00%, 4.28%, 9.01%, 10.97%, 15.90%, 18.20%, 15.61%, 10.63%, 6.48%, 2.30%, 1.09%, 0.29%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 3.38%, 24.30
trk8,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.08%, 0.59%, 1.01%, 3.34%, 6.85%, 13.12%, 18.67%, 19.18%, 17.24%, 11.35%, 5.21%, 2.48%, 0.67%, 0.19%, 0.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.11%, 24.91
