total cnt, <=123.0 uS, >=270.0 uS, track,126.0 uS,129.0 uS,132.0 uS,135.0 uS,138.0 uS,141.0 uS,144.0 uS,147.0 uS,150.0 uS,153.0 uS,156.0 uS,159.0 uS,162.0 uS,165.0 uS,168.0 uS,171.0 uS,174.0 uS,177.0 uS,180.0 uS,183.0 uS,186.0 uS,189.0 uS,192.0 uS,195.0 uS,198.0 uS,201.0 uS,204.0 uS,207.0 uS,210.0 uS,213.0 uS,216.0 uS,219.0 uS,222.0 uS,225.0 uS,228.0 uS,231.0 uS,234.0 uS,237.0 uS,240.0 uS,243.0 uS,246.0 uS,249.0 uS,252.0 uS,255.0 uS,258.0 uS,261.0 uS,264.0 uS,267.0 uS
848, 0, 0,trk0, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.12%, 1.30%, 12.62%, 35.14%, 43.63%, 6.49%, 0.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
4381, 0, 0,trk1, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.05%, 0.64%, 0.25%, 7.30%, 27.48%, 35.79%, 22.37%, 1.46%, 4.02%, 0.46%, 0.07%, 0.07%, 0.02%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1179, 0, 0,trk2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.08%, 0.17%, 0.25%, 5.09%, 22.90%, 47.67%, 19.85%, 3.82%, 0.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1179, 0, 0,trk3, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.08%, 0.17%, 0.76%, 5.77%, 27.23%, 40.20%, 22.05%, 3.65%, 0.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
4390, 0, 0,trk4, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.07%, 0.77%, 5.22%, 20.55%, 38.06%, 27.90%, 6.74%, 0.64%, 0.05%, 0.00%, 0.00%, 0.00%, 0.00%
848, 0, 0,trk5, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.12%, 0.00%, 2.00%, 9.91%, 25.12%, 35.14%, 22.52%, 4.83%, 0.35%
