,1.1 uS,1.2 uS,1.3 uS,1.4 uS,1.5 uS,1.6 uS,1.7 uS,1.8 uS,1.9 uS,2.0 uS,2.1 uS,2.2 uS,2.3 uS,2.4 uS,2.5 uS,2.6 uS,2.7 uS,2.8 uS,2.9 uS,3.0 uS,3.1 uS,3.2 uS,3.3 uS,3.4 uS,3.5 uS,3.6 uS,3.7 uS,3.8 uS,3.9 uS,4.0 uS,4.1 uS,4.2 uS,4.3 uS,4.4 uS,4.5 uS,4.6 uS,4.7 uS,4.8 uS,4.9 uS,5.0 uS,5.1 uS,5.2 uS,5.3 uS,5.4 uS,5.5 uS,5.6 uS,5.7 uS,5.8 uS,5.9 uS,6.0 uS
trk0,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 5.20%, 0.00%, 11.59%, 0.00%, 16.09%, 32.73%, 0.00%, 5.19%, 1.39%, 0.00%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.24%, 0.00%, 3.51%, 4.27%, 0.00%, 1.74%, 0.00%, 1.84%, 0.87%, 0.00%, 0.44%, 0.00%, 0.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.84%, 22.00%, 
trk1,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 5.84%, 0.00%, 14.03%, 0.00%, 13.70%, 26.45%, 0.00%, 5.93%, 2.63%, 0.00%, 0.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.29%, 0.00%, 4.59%, 6.72%, 0.00%, 3.28%, 0.00%, 4.06%, 2.08%, 0.00%, 0.80%, 0.00%, 0.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.00%, 0.95%, 17.21%, 
trk2,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.03%, 7.78%, 0.00%, 13.18%, 0.00%, 12.06%, 27.64%, 0.00%, 6.24%, 2.77%, 0.00%, 0.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.98%, 0.00%, 6.14%, 6.22%, 0.00%, 2.85%, 0.00%, 2.89%, 1.41%, 0.00%, 0.62%, 0.00%, 0.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.02%, 0.00%, 1.51%, 14.50%, 
trk3,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 3.95%, 0.00%, 10.88%, 0.00%, 14.35%, 27.67%, 0.00%, 5.94%, 3.32%, 0.00%, 0.35%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.42%, 0.00%, 3.94%, 5.08%, 0.00%, 3.31%, 0.00%, 4.98%, 2.25%, 0.00%, 1.38%, 0.00%, 0.36%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.44%, 22.36%, 
trk4,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 4.32%, 0.00%, 13.35%, 0.00%, 13.94%, 27.59%, 0.00%, 6.73%, 3.03%, 0.00%, 0.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.22%, 0.00%, 3.84%, 5.22%, 0.00%, 3.11%, 0.00%, 3.97%, 2.15%, 0.00%, 1.08%, 0.00%, 0.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.97%, 23.00%, 
trk5,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.92%, 0.00%, 16.13%, 0.00%, 16.11%, 25.33%, 0.00%, 4.75%, 1.99%, 0.00%, 0.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.05%, 0.00%, 3.21%, 6.61%, 0.00%, 4.39%, 0.00%, 5.96%, 2.70%, 0.00%, 1.58%, 0.00%, 0.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.25%, 20.57%, 
trk6,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 5.00%, 0.00%, 12.98%, 0.00%, 13.49%, 24.92%, 0.00%, 6.29%, 3.13%, 0.00%, 0.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.41%, 0.00%, 4.60%, 6.30%, 0.00%, 3.82%, 0.00%, 5.71%, 2.60%, 0.00%, 1.52%, 0.00%, 0.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.01%, 18.34%, 
trk7,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 5.14%, 0.00%, 13.88%, 0.00%, 12.56%, 26.04%, 0.00%, 5.54%, 2.82%, 0.00%, 0.43%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.52%, 0.00%, 4.56%, 5.63%, 0.00%, 4.19%, 0.00%, 5.92%, 2.38%, 0.00%, 1.61%, 0.00%, 0.46%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.02%, 0.00%, 1.55%, 18.28%, 
trk8,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.04%, 11.11%, 0.00%, 13.48%, 0.00%, 7.75%, 18.60%, 0.00%, 11.44%, 2.65%, 0.00%, 0.73%, 0.00%, 0.01%, 0.00%, 0.00%, 0.07%, 3.38%, 0.00%, 7.73%, 4.00%, 0.00%, 4.52%, 0.00%, 4.82%, 2.77%, 0.00%, 1.60%, 0.00%, 0.58%, 0.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.16%, 0.00%, 1.62%, 8.29%, 
