,17.5 uS,18.2 uS,18.9 uS,19.6 uS,20.3 uS,21.0 uS,21.7 uS,22.4 uS,23.1 uS,23.8 uS,24.5 uS,25.2 uS,25.9 uS,26.6 uS,27.3 uS,28.0 uS,28.7 uS,29.4 uS,30.1 uS,30.8 uS,31.5 uS,32.2 uS,32.9 uS,33.6 uS,34.3 uS,35.0 uS,35.7 uS,36.4 uS,37.1 uS,37.8 uS,38.5 uS,39.2 uS,39.9 uS,40.6 uS,41.3 uS,42.0 uS,42.7 uS,43.4 uS,44.1 uS,44.8 uS,45.5 uS,46.2 uS,46.9 uS,47.6 uS,48.3 uS,49.0 uS,49.7 uS,50.4 uS,51.1 uS,51.8 uS,avg uS
trk0,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.05%, 0.21%, 0.92%, 2.29%, 4.59%, 8.98%, 13.32%, 17.00%, 17.85%, 15.32%, 10.51%, 5.29%, 2.30%, 0.92%, 0.37%, 0.06%, 0.00%, 0.00%, 0.00%, 0.01%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.71%, 35.43
trk1,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.05%, 0.12%, 0.52%, 1.58%, 4.42%, 9.30%, 14.90%, 19.74%, 19.89%, 15.45%, 9.02%, 3.58%, 1.15%, 0.27%, 0.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.48%, 36.00
trk2,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.03%, 0.21%, 0.99%, 3.78%, 9.97%, 18.76%, 24.76%, 21.20%, 13.02%, 5.56%, 1.47%, 0.20%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.03%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.44%, 35.81
trk3,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.08%, 0.50%, 2.26%, 7.31%, 15.90%, 23.33%, 23.05%, 16.48%, 8.09%, 2.55%, 0.38%, 0.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.02%, 0.01%, 0.00%, 0.00%, 0.00%, 0.26%, 36.07
trk4,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.13%, 1.22%, 4.70%, 11.09%, 18.77%, 22.67%, 20.09%, 12.90%, 6.15%, 1.85%, 0.38%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.18%, 35.09
trk5,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.04%, 0.36%, 2.01%, 5.87%, 12.53%, 17.91%, 19.96%, 18.16%, 12.98%, 6.58%, 2.66%, 0.72%, 0.20%, 0.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.44%, 35.76
trk6,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.06%, 0.32%, 1.28%, 4.88%, 16.93%, 29.83%, 23.86%, 12.34%, 6.23%, 2.74%, 1.06%, 0.35%, 0.10%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.28%, 36.08
