total cnt, <=123.0 uS, >=270.0 uS, track,126.0 uS,129.0 uS,132.0 uS,135.0 uS,138.0 uS,141.0 uS,144.0 uS,147.0 uS,150.0 uS,153.0 uS,156.0 uS,159.0 uS,162.0 uS,165.0 uS,168.0 uS,171.0 uS,174.0 uS,177.0 uS,180.0 uS,183.0 uS,186.0 uS,189.0 uS,192.0 uS,195.0 uS,198.0 uS,201.0 uS,204.0 uS,207.0 uS,210.0 uS,213.0 uS,216.0 uS,219.0 uS,222.0 uS,225.0 uS,228.0 uS,231.0 uS,234.0 uS,237.0 uS,240.0 uS,243.0 uS,246.0 uS,249.0 uS,252.0 uS,255.0 uS,258.0 uS,261.0 uS,264.0 uS,267.0 uS
5979, 0, 0,trk0, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.10%, 1.02%, 0.23%, 7.39%, 26.38%, 38.20%, 21.16%, 2.89%, 2.34%, 0.20%, 0.05%, 0.02%, 0.00%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
28088, 0, 0,trk1, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.06%, 0.79%, 0.15%, 6.00%, 24.39%, 38.03%, 23.82%, 0.95%, 4.94%, 0.68%, 0.11%, 0.05%, 0.00%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
8177, 0, 0,trk2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.09%, 0.59%, 3.93%, 1.60%, 22.05%, 39.82%, 23.46%, 7.41%, 0.22%, 0.65%, 0.10%, 0.06%, 0.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
8179, 0, 0,trk3, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.05%, 0.29%, 2.40%, 0.98%, 15.61%, 34.89%, 32.36%, 11.75%, 0.97%, 0.62%, 0.04%, 0.02%, 0.00%, 0.00%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
28112, 0, 0,trk4, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.16%, 0.97%, 0.55%, 6.96%, 23.26%, 37.28%, 22.10%, 7.68%, 0.95%, 0.07%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
5990, 0, 0,trk5, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.22%, 0.98%, 3.91%, 0.95%, 16.33%, 28.56%, 28.00%, 15.36%, 4.84%, 0.75%, 0.08%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
